,env_br_per_min,scene_br_per_min,seq_per min,light,0 face,1 face,2 faces,3 faces,4+ faces,0 pers,1 pers,2 pers,3 pers,4 pers,5+ pers
207_12,14.0,18.6,18.6,51.8,96.0,4.0,0.0,0.0,0.0,0.0,46.2,15.4,15.4,23.1,0.0
208_12,15.8,8.8,3.5,30.0,78.8,15.2,6.1,0.0,0.0,11.8,35.3,11.8,35.3,5.9,0.0
209_1,18.4,22.0,3.7,44.1,100.0,0.0,0.0,0.0,0.0,0.0,87.5,12.5,0.0,0.0,0.0
20_1,18.0,15.8,3.4,16.9,96.1,3.9,0.0,0.0,0.0,3.8,38.5,57.7,0.0,0.0,0.0
210_3,17.0,13.2,5.7,29.5,50.8,45.9,3.3,0.0,0.0,0.0,51.6,48.4,0.0,0.0,0.0
211_15,13.3,13.3,7.4,32.7,87.2,12.8,0.0,0.0,0.0,25.0,45.0,10.0,10.0,10.0,0.0
212_6,0.0,1.3,0.7,11.5,52.8,47.2,0.0,0.0,0.0,4.4,24.4,71.1,0.0,0.0,0.0
213_15,14.4,9.6,4.8,30.8,70.8,29.2,0.0,0.0,0.0,16.7,58.3,0.0,0.0,16.7,8.3
214_14,4.7,5.7,2.8,15.4,100.0,0.0,0.0,0.0,0.0,12.9,87.1,0.0,0.0,0.0,0.0
215_13,25.5,27.3,7.3,41.0,24.2,42.4,33.3,0.0,0.0,0.0,35.3,47.1,0.0,5.9,11.8
216_2,2.2,2.2,2.2,15.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0
217_2,20.5,20.5,11.7,16.3,85.0,15.0,0.0,0.0,0.0,0.0,40.0,20.0,20.0,20.0,0.0
218_10,9.1,11.4,4.6,8.0,32.0,64.0,4.0,0.0,0.0,0.0,53.8,46.2,0.0,0.0,0.0
219_10,3.5,12.4,5.3,7.6,63.6,36.4,0.0,0.0,0.0,0.0,88.2,11.8,0.0,0.0,0.0
21_15,18.3,7.8,7.8,36.1,90.9,9.1,0.0,0.0,0.0,0.0,36.4,0.0,0.0,0.0,63.6
220_2,1.3,1.3,1.3,9.0,100.0,0.0,0.0,0.0,0.0,17.4,82.6,0.0,0.0,0.0,0.0
221_7,3.1,4.6,4.6,26.4,60.5,37.7,1.8,0.0,0.0,0.0,19.3,80.7,0.0,0.0,0.0
222_15,13.8,9.2,6.9,34.1,96.0,4.0,0.0,0.0,0.0,32.0,8.0,28.0,16.0,16.0,0.0
223_11,7.0,3.5,3.5,33.0,61.2,34.7,4.1,0.0,0.0,0.0,68.0,24.0,8.0,0.0,0.0
224_15,7.0,4.2,4.2,41.0,100.0,0.0,0.0,0.0,0.0,42.9,33.3,0.0,23.8,0.0,0.0
225_11,15.0,15.0,2.5,31.4,21.7,78.3,0.0,0.0,0.0,0.0,17.4,34.8,47.8,0.0,0.0
