,0 pers,1 pers,2 pers,3 pers,4 pers,5 pers
85_6,0.0,0.08333333333333333,0.08333333333333333,0.8333333333333334,0.0,0.0
232_13,0.12903225806451613,0.41935483870967744,0.45161290322580644,0.0,0.0,0.0
97_6,0.05555555555555555,0.1111111111111111,0.5,0.05555555555555555,0.1388888888888889,0.1388888888888889
87_2,0.3,0.25,0.0,0.05,0.1,0.3
115_14,0.0,0.3125,0.625,0.0625,0.0,0.0
245_3,0.0,0.5,0.5,0.0,0.0,0.0
286_14,0.06666666666666667,0.9,0.03333333333333333,0.0,0.0,0.0
290_2,0.6428571428571429,0.2857142857142857,0.07142857142857142,0.0,0.0,0.0
3_5,0.0,0.45454545454545453,0.5454545454545454,0.0,0.0,0.0
275_5,0.08,0.32,0.6,0.0,0.0,0.0
173_1,0.0,0.13333333333333333,0.5333333333333333,0.06666666666666667,0.2,0.06666666666666667
220_2,0.17391304347826086,0.8260869565217391,0.0,0.0,0.0,0.0
284_6,0.034482758620689655,0.41379310344827586,0.5517241379310345,0.0,0.0,0.0
36_10,0.0,0.8846153846153846,0.11538461538461539,0.0,0.0,0.0
130_14,0.05263157894736842,0.6842105263157895,0.2631578947368421,0.0,0.0,0.0
178_11,0.0,0.0,0.0,0.0,0.07142857142857142,0.9285714285714286
106_2,0.0,0.27906976744186046,0.7209302325581395,0.0,0.0,0.0
88_11,0.0,0.14285714285714285,0.7857142857142857,0.07142857142857142,0.0,0.0
54_2,0.10526315789473684,0.631578947368421,0.21052631578947367,0.05263157894736842,0.0,0.0
82_11,0.0,0.07142857142857142,0.35714285714285715,0.5,0.0,0.07142857142857142
18_6,0.0,0.058823529411764705,0.0,0.0,0.0,0.9411764705882353
12_13,0.21428571428571427,0.5714285714285714,0.07142857142857142,0.14285714285714285,0.0,0.0
161_3,0.0,0.02702702702702703,0.7297297297297297,0.02702702702702703,0.05405405405405406,0.16216216216216217
199_9,0.0,0.30434782608695654,0.0,0.08695652173913043,0.0,0.6086956521739131
99_11,0.0,0.0,1.0,0.0,0.0,0.0
291_8,0.6875,0.3125,0.0,0.0,0.0,0.0
68_3,0.0,0.5813953488372093,0.18604651162790697,0.0,0.23255813953488372,0.0
26_15,0.1,0.3,0.2,0.3,0.1,0.0
277_2,0.0,0.14285714285714285,0.14285714285714285,0.7142857142857143,0.0,0.0
229_1,0.0,0.03125,0.21875,0.59375,0.15625,0.0
52_11,0.0,0.35714285714285715,0.25,0.32142857142857145,0.07142857142857142,0.0
246_14,0.0,0.4166666666666667,0.0,0.4166666666666667,0.16666666666666666,0.0
227_3,0.0,0.27586206896551724,0.1206896551724138,0.13793103448275862,0.10344827586206896,0.3620689655172414
197_7,0.0,0.8571428571428571,0.047619047619047616,0.0,0.0,0.09523809523809523
179_6,0.0,0.7142857142857143,0.10714285714285714,0.07142857142857142,0.10714285714285714,0.0
65_11,0.05,0.25,0.7,0.0,0.0,0.0
69_2,0.0,0.5277777777777778,0.4722222222222222,0.0,0.0,0.0
175_2,0.125,0.6875,0.0,0.0625,0.0,0.125
279_11,0.05,0.3,0.65,0.0,0.0,0.0
190_10,0.0,0.9777777777777777,0.022222222222222223,0.0,0.0,0.0
90_15,0.0,0.0,0.0,0.0,0.0,1.0
8_3,0.0,0.21428571428571427,0.7857142857142857,0.0,0.0,0.0
254_12,0.0,0.14285714285714285,0.42857142857142855,0.14285714285714285,0.21428571428571427,0.07142857142857142
255_10,0.019230769230769232,0.46153846153846156,0.15384615384615385,0.15384615384615385,0.09615384615384616,0.11538461538461539
